
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2861           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:26143          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:27275          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:47984          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:47989          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:48010          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49161          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49164          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49165          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49166          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49169          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49204          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         127.0.0.1:49162        ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:49163        ESTABLISHED
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5939         127.0.0.1:49222        ESTABLISHED
  TCP    127.0.0.1:9990         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49155        127.0.0.1:49156        ESTABLISHED
  TCP    127.0.0.1:49156        127.0.0.1:49155        ESTABLISHED
  TCP    127.0.0.1:49157        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49158        127.0.0.1:49159        ESTABLISHED
  TCP    127.0.0.1:49159        127.0.0.1:49158        ESTABLISHED
  TCP    127.0.0.1:49160        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49162        127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:49163        127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:49221        127.0.0.1:65001        ESTABLISHED
  TCP    127.0.0.1:49222        127.0.0.1:5939         ESTABLISHED
  TCP    127.0.0.1:63947        127.0.0.1:9999         SYN_SENT
  TCP    127.0.0.1:65000        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65001        127.0.0.1:49221        ESTABLISHED
  TCP    192.168.1.6:139        0.0.0.0:0              LISTENING
  TCP    192.168.1.6:49225      159.8.209.220:5938     ESTABLISHED
  TCP    192.168.1.6:58525      64.233.188.188:5228    ESTABLISHED
  TCP    192.168.1.6:58545      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:58569      179.60.193.3:443       ESTABLISHED
  TCP    192.168.1.6:58571      179.60.193.36:443      ESTABLISHED
  TCP    192.168.1.6:58705      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:58724      216.58.199.78:443      ESTABLISHED
  TCP    192.168.1.6:59049      172.217.25.163:443     ESTABLISHED
  TCP    192.168.1.6:59053      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:59135      216.58.199.78:443      ESTABLISHED
  TCP    192.168.1.6:59260      203.213.33.73:80       ESTABLISHED
  TCP    192.168.1.6:63544      134.170.188.139:443    TIME_WAIT
  TCP    192.168.1.6:63546      134.170.188.139:443    TIME_WAIT
  TCP    192.168.1.6:63556      66.235.138.193:443     TIME_WAIT
  TCP    192.168.1.6:63699      111.221.29.254:443     ESTABLISHED
  TCP    192.168.1.6:63726      172.217.25.163:443     ESTABLISHED
  TCP    192.168.1.6:63852      77.234.41.23:80        ESTABLISHED
  TCP    192.168.1.6:63854      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:63859      172.217.25.164:443     ESTABLISHED
  TCP    192.168.1.6:63860      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:63862      172.217.25.165:443     ESTABLISHED
  TCP    192.168.1.6:63864      172.217.25.161:443     ESTABLISHED
  TCP    192.168.1.6:63866      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:63867      172.217.25.173:443     ESTABLISHED
  TCP    192.168.1.6:63868      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:63869      172.217.25.170:443     ESTABLISHED
  TCP    192.168.1.6:63870      172.217.25.170:443     ESTABLISHED
  TCP    192.168.1.6:63872      74.125.23.189:443      ESTABLISHED
  TCP    192.168.1.6:63873      172.217.25.174:443     ESTABLISHED
  TCP    192.168.1.6:63874      172.217.25.162:443     ESTABLISHED
  TCP    192.168.1.6:63876      202.7.172.140:443      ESTABLISHED
  TCP    192.168.1.6:63880      172.217.25.161:443     ESTABLISHED
  TCP    192.168.1.6:63881      216.58.199.78:443      ESTABLISHED
  TCP    192.168.1.6:63884      172.217.25.163:443     ESTABLISHED
  TCP    192.168.1.6:63887      216.58.212.131:443     ESTABLISHED
  TCP    192.168.1.6:63890      74.125.170.200:443     TIME_WAIT
  TCP    192.168.1.6:63899      179.60.193.7:443       ESTABLISHED
  TCP    192.168.1.6:63919      203.213.33.72:80       ESTABLISHED
  TCP    192.168.111.1:139      0.0.0.0:0              LISTENING
  TCP    192.168.136.1:139      0.0.0.0:0              LISTENING
  TCP    192.168.137.1:139      0.0.0.0:0              LISTENING
  TCP    192.168.137.1:49172    0.0.0.0:0              LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:554               [::]:0                 LISTENING
  TCP    [::]:2861              [::]:0                 LISTENING
  TCP    [::]:2869              [::]:0                 LISTENING
  TCP    [::]:3587              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:10243             [::]:0                 LISTENING
  TCP    [::]:26143             [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49161             [::]:0                 LISTENING
  TCP    [::]:49164             [::]:0                 LISTENING
  TCP    [::]:49165             [::]:0                 LISTENING
  TCP    [::]:49166             [::]:0                 LISTENING
  TCP    [::]:49169             [::]:0                 LISTENING
  TCP    [::]:49204             [::]:0                 LISTENING
  TCP    [::1]:27275            [::]:0                 LISTENING
  TCP    [::1]:49165            [::1]:58990            ESTABLISHED
  TCP    [::1]:49165            [::1]:59034            ESTABLISHED
  TCP    [::1]:49165            [::1]:59500            ESTABLISHED
  TCP    [::1]:49165            [::1]:63961            ESTABLISHED
  TCP    [::1]:49165            [::1]:63965            ESTABLISHED
  TCP    [::1]:49166            [::1]:63936            ESTABLISHED
  TCP    [::1]:49166            [::1]:63937            ESTABLISHED
  TCP    [::1]:49166            [::1]:63938            ESTABLISHED
  TCP    [::1]:49166            [::1]:63939            ESTABLISHED
  TCP    [::1]:49166            [::1]:63942            ESTABLISHED
  TCP    [::1]:49166            [::1]:63943            ESTABLISHED
  TCP    [::1]:49166            [::1]:63946            ESTABLISHED
  TCP    [::1]:49166            [::1]:63950            ESTABLISHED
  TCP    [::1]:49166            [::1]:63951            ESTABLISHED
  TCP    [::1]:49166            [::1]:63954            ESTABLISHED
  TCP    [::1]:49166            [::1]:63955            ESTABLISHED
  TCP    [::1]:49166            [::1]:63958            ESTABLISHED
  TCP    [::1]:49166            [::1]:63959            ESTABLISHED
  TCP    [::1]:49166            [::1]:63963            ESTABLISHED
  TCP    [::1]:49166            [::1]:63964            ESTABLISHED
  TCP    [::1]:49456            [::]:0                 LISTENING
  TCP    [::1]:58990            [::1]:49165            ESTABLISHED
  TCP    [::1]:59034            [::1]:49165            ESTABLISHED
  TCP    [::1]:59500            [::1]:49165            ESTABLISHED
  TCP    [::1]:63734            [::1]:49165            TIME_WAIT
  TCP    [::1]:63736            [::1]:49165            TIME_WAIT
  TCP    [::1]:63737            [::1]:49165            TIME_WAIT
  TCP    [::1]:63745            [::1]:49166            TIME_WAIT
  TCP    [::1]:63746            [::1]:49166            TIME_WAIT
  TCP    [::1]:63747            [::1]:49166            TIME_WAIT
  TCP    [::1]:63748            [::1]:49166            TIME_WAIT
  TCP    [::1]:63751            [::1]:49166            TIME_WAIT
  TCP    [::1]:63752            [::1]:49166            TIME_WAIT
  TCP    [::1]:63755            [::1]:49166            TIME_WAIT
  TCP    [::1]:63758            [::1]:49166            TIME_WAIT
  TCP    [::1]:63759            [::1]:49166            TIME_WAIT
  TCP    [::1]:63762            [::1]:49166            TIME_WAIT
  TCP    [::1]:63763            [::1]:49166            TIME_WAIT
  TCP    [::1]:63766            [::1]:49166            TIME_WAIT
  TCP    [::1]:63767            [::1]:49166            TIME_WAIT
  TCP    [::1]:63770            [::1]:49165            TIME_WAIT
  TCP    [::1]:63771            [::1]:49166            TIME_WAIT
  TCP    [::1]:63772            [::1]:49166            TIME_WAIT
  TCP    [::1]:63773            [::1]:49165            TIME_WAIT
  TCP    [::1]:63777            [::1]:49166            TIME_WAIT
